filename, language, C, Makefile, comment, blank, total
8259a.c, C, 18, 0, 9, 8, 35
Makefile, Makefile, 0, 39, 15, 18, 72
ards.c, C, 19, 0, 10, 4, 33
bitmap.c, C, 54, 0, 19, 13, 86
cmos.c, C, 42, 0, 8, 5, 55
console.c, C, 142, 0, 9, 31, 182
cpu.c, C, 66, 0, 11, 12, 89
debug.c, C, 29, 0, 14, 8, 51
descriptor.c, C, 167, 0, 52, 40, 259
ioqueue.c, C, 73, 0, 17, 15, 105
memory.c, C, 224, 0, 108, 37, 369
page.c, C, 328, 0, 38, 64, 430
pipe.c, C, 89, 0, 16, 3, 108
process.c, C, 195, 0, 47, 68, 310
rgui.c, C, 267, 0, 30, 6, 303
rgui_window.c, C, 14, 0, 1, 2, 17
sync.c, C, 66, 0, 10, 10, 86
syscall.c, C, 68, 0, 14, 13, 95
system.c, C, 52, 0, 27, 6, 85
thread.c, C, 548, 0, 80, 140, 768
tss.c, C, 18, 0, 11, 6, 35
Total, -, 2479, 39, 546, 509, 3573
